id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
1077501,2011,01/12/2011,1012015,10.0,RENT,1,Low,24000,1,5000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,27.65,5861.071414,5000.0,0.0,162.87,munster
1077430,2011,01/12/2011,1042013,0.5,RENT,1,Low,30000,1,2500, 60 months,2,INDIVIDUAL,1,car,2,High,2,Bad Loan,1,15.27,C,3,1.0,1008.71,456.46,117.08,59.83,leinster
1077175,2011,01/12/2011,1062014,10.0,RENT,1,Low,12252,1,2400, 36 months,1,INDIVIDUAL,1,small_business,3,High,2,Good Loan,0,15.96,C,3,8.72,3003.653644,2400.0,0.0,84.33,cannught
1076863,2011,01/12/2011,1012015,10.0,RENT,1,Low,49200,1,10000, 36 months,1,INDIVIDUAL,1,other,4,High,2,Good Loan,0,13.49,C,3,20.0,12226.30221,10000.0,0.0,339.31,ulster
1075358,2011,01/12/2011,1012016,1.0,RENT,1,Low,80000,1,3000, 60 months,2,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,12.69,B,2,17.94,3242.17,2233.1,0.0,67.79,ulster
1075269,2011,01/12/2011,1012015,3.0,RENT,1,Low,36000,1,5000, 36 months,1,INDIVIDUAL,1,wedding,5,Low,1,Good Loan,0,7.9,A,1,11.2,5631.377753,5000.0,0.0,156.46,munster
1069639,2011,01/12/2011,1012016,8.0,RENT,1,Low,47004,1,7000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,23.51,8136.84,5110.85,0.0,170.08,leinster
1072053,2011,01/12/2011,1012015,9.0,RENT,1,Low,48000,1,3000, 36 months,1,INDIVIDUAL,1,car,2,High,2,Good Loan,0,18.64,E,5,5.35,3938.14433,3000.0,0.0,109.43,ulster
1071795,2011,01/12/2011,1042012,4.0,OWN,2,Low,40000,1,5600, 60 months,2,INDIVIDUAL,1,small_business,3,High,2,Bad Loan,1,21.28,F,6,5.55,646.02,162.02,189.06,152.39,ulster
1071570,2011,01/12/2011,1112012,0.5,RENT,1,Low,15000,1,5375, 60 months,2,INDIVIDUAL,1,other,4,Low,1,Bad Loan,1,12.69,B,2,18.08,1476.19,673.48,269.29,121.45,munster
1070078,2011,01/12/2011,1062013,5.0,OWN,2,Low,72000,1,6500, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,16.12,7677.52,6500.0,0.0,153.45,munster
1069908,2011,01/12/2011,1092013,10.0,OWN,2,Low,75000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,10.78,13943.08,12000.0,0.0,402.54,ulster
1064687,2011,01/12/2011,1072012,0.5,RENT,1,Low,30000,1,9000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,13.49,C,3,10.08,2270.7,1256.14,444.3,305.38,leinster
1069866,2011,01/12/2011,1012015,3.0,RENT,1,Low,15000,1,3000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,12.56,3478.981915,3000.0,0.0,96.68,cannught
1069057,2011,01/12/2011,1102013,3.0,RENT,1,Low,100000,1,10000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Bad Loan,1,10.65,B,2,7.06,7471.99,5433.47,645.1,325.74,ulster
1069759,2011,01/12/2011,1012015,0.5,RENT,1,Low,28000,1,1000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,20.31,1270.171106,1000.0,0.0,35.31,cannught
1065775,2011,01/12/2011,1012015,4.0,RENT,1,Low,42000,1,10000, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,15.27,C,3,18.6,12519.26045,10000.0,0.0,347.98,ulster
1069971,2011,01/12/2011,1052013,10.0,MORTGAGE,3,Medium,110000,2,3600, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,6.03,A,1,10.52,3785.02,3600.0,0.0,109.57,Northern-Irl
1062474,2011,01/12/2011,1022015,1.0,MORTGAGE,3,Low,84000,1,6000, 36 months,1,INDIVIDUAL,1,medical,9,Low,1,Good Loan,0,11.71,B,2,18.44,7164.499852,6000.0,0.0,198.46,ulster
1069742,2011,01/12/2011,1072012,6.0,RENT,1,Low,77385,1,9200, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,9.86,9459.96,9200.0,0.0,280.01,ulster
1069740,2011,01/12/2011,1082015,3.0,RENT,1,Low,43370,1,20250, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,26.53,27663.04267,20250.0,0.0,484.63,munster
1039153,2011,01/12/2011,1092013,10.0,RENT,1,Medium,105000,2,21000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,12.42,B,2,13.22,14025.4,10694.96,0.0,701.73,leinster
1069710,2011,01/12/2011,1012015,10.0,OWN,2,Low,50000,1,10000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,11.71,B,2,11.18,11902.56157,10000.0,0.0,330.76,munster
1069700,2011,01/12/2011,1102013,5.0,RENT,1,Low,50000,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,16.01,11536.31,10000.0,0.0,330.76,ulster
1069559,2011,01/12/2011,1102012,1.0,RENT,1,Low,76000,1,6000, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Bad Loan,1,11.71,B,2,2.4,2050.14,1305.58,269.31,198.46,ulster
1069697,2011,01/12/2011,1092012,2.0,MORTGAGE,3,Low,92000,1,15000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,29.44,15823.48,15000.0,0.0,483.38,cannught
1069800,2011,01/12/2011,1012016,9.0,RENT,1,Low,60000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,14.27,C,3,15.22,0.0,0.0,0.0,514.64,Northern-Irl
1069657,2011,01/12/2011,1122012,2.0,RENT,1,Low,50004,1,5000, 60 months,2,INDIVIDUAL,1,other,4,High,2,Bad Loan,1,16.77,D,4,13.97,1609.12,629.05,260.96,123.65,Northern-Irl
1069799,2011,01/12/2011,1042013,10.0,MORTGAGE,3,Medium,106000,2,4000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,5.63,4484.79,4000.0,0.0,132.31,leinster
1047704,2011,01/12/2011,1122014,0.5,RENT,1,Low,25000,1,8500, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,11.71,B,2,12.19,10122.20861,8500.0,0.0,281.15,cannught
1032111,2011,01/12/2011,1012015,7.0,MORTGAGE,3,Low,17108,1,4375, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.51,A,1,20.34,4898.543557999999,4375.0,0.0,136.11,Northern-Irl
1069539,2011,01/12/2011,1082013,5.0,MORTGAGE,3,Low,75000,1,31825, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,14.03,34886.08,31825.0,0.0,995.82,Northern-Irl
1065420,2011,01/12/2011,1012016,2.0,RENT,1,Low,29120,1,10000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,22.83,11622.36,7304.67,0.0,242.97,leinster
1069591,2011,01/12/2011,1012015,2.0,RENT,1,Low,24044,1,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,11.93,5714.592129,5000.0,0.0,158.77,ulster
1069530,2011,01/12/2011,1012015,7.0,RENT,1,Low,34000,1,7000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,15.96,C,3,6.35,8848.94043,7000.0,0.0,245.97,ulster
1069522,2011,01/12/2011,1012015,10.0,RENT,1,Low,41000,1,12400, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,11.8,14537.459530000002,12400.0,0.0,403.91,leinster
1069361,2011,01/12/2011,1112013,2.0,RENT,1,Low,55596,1,10800, 36 months,1,INDIVIDUAL,1,moving,10,Low,1,Good Loan,0,9.91,B,2,5.5,12157.2,10800.0,0.0,348.03,ulster
1069357,2011,01/12/2011,1012014,1.0,RENT,1,Low,45000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,8.48,16662.6,15000.0,0.0,469.36,cannught
1069356,2011,01/12/2011,1042014,1.0,RENT,1,Low,36852,1,6000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,10.62,7125.283165000001,6000.0,0.0,200.5,munster
1069346,2011,01/12/2011,1012016,1.0,RENT,1,Low,27000,1,12500, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,16.04,13506.54,9306.87,0.0,282.44,cannught
1067573,2011,01/12/2011,1012015,4.0,RENT,1,Low,68004,1,9600, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,7.51,A,1,6.63,10749.76265,9600.0,0.0,298.67,leinster
1069506,2011,01/12/2011,1012015,10.0,RENT,1,Low,62300,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,16.7,13516.382959999999,12000.0,0.0,375.49,Northern-Irl
1069314,2011,01/12/2011,1012015,9.0,MORTGAGE,3,Low,65000,1,3000, 36 months,1,INDIVIDUAL,1,other,4,High,2,Good Loan,0,18.25,D,4,17.39,3915.027595,3000.0,0.0,108.84,Northern-Irl
1060578,2011,01/12/2011,1012015,10.0,RENT,1,Low,55000,1,4400, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,20.01,5626.892655,4400.0,0.0,156.37,Northern-Irl
1069469,2011,01/12/2011,1072012,10.0,MORTGAGE,3,Low,45600,1,6000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,5.34,6065.86,6000.0,0.0,182.62,leinster
1051117,2011,01/12/2011,1012015,6.0,RENT,1,Low,80000,1,14000, 36 months,1,INDIVIDUAL,1,small_business,3,Low,1,Good Loan,0,9.91,B,2,10.0,16239.914130000001,14000.0,0.0,451.15,Northern-Irl
1069465,2011,01/12/2011,1082014,10.0,MORTGAGE,3,Low,100000,1,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,8.9,A,1,16.33,5021.37,4217.38,107.0,158.77,cannught
1069283,2011,01/12/2011,1012015,6.0,RENT,1,Low,27000,1,10000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,10.65,B,2,11.47,11724.56774,10000.0,0.0,325.74,Northern-Irl
1069287,2011,01/12/2011,1072012,10.0,RENT,1,Low,60000,1,10000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,6.03,A,1,12.74,10282.67,10000.0,0.0,304.36,Northern-Irl
1069453,2011,01/12/2011,1012015,5.0,RENT,1,Low,70000,1,11000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.62,A,1,10.85,12157.38005,11000.0,0.0,337.75,Northern-Irl
1069248,2011,01/12/2011,1102014,8.0,MORTGAGE,3,Low,80000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,9.91,B,2,9.12,16177.77,13556.45,222.81,483.38,cannught
1068120,2011,01/12/2011,1012015,9.0,RENT,1,Medium,110000,2,25600, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,15.71,29695.62268,25600.0,0.0,824.96,ulster
1069244,2011,01/12/2011,1012015,0.5,RENT,1,Low,40000,1,7000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,7.38,8205.473816,7000.0,0.0,228.02,ulster
1069243,2011,01/12/2011,1082012,4.0,RENT,1,Low,50000,1,12000, 36 months,1,INDIVIDUAL,1,car,2,High,2,Bad Loan,1,15.96,C,3,20.88,3521.95,1903.66,578.94,421.65,ulster
1069238,2011,01/12/2011,1072014,1.0,RENT,1,Low,46000,1,12000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,8.11,13748.213109999999,12000.0,0.0,386.7,munster
1069410,2011,01/12/2011,1102014,7.0,RENT,1,Low,50000,1,21000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,19.91,E,5,21.58,18319.14,8990.81,0.0,555.33,ulster
1068409,2011,01/12/2011,1102013,7.0,RENT,1,Low,81000,1,16000, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,19.91,E,5,20.52,20876.1,16000.0,0.0,423.11,Northern-Irl
1068487,2011,01/12/2011,1072013,0.5,OWN,2,Low,39000,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,18.58,11474.76,10000.0,0.0,334.16,ulster
1043961,2011,01/12/2011,1082012,2.0,RENT,1,Low,51400,1,10000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,19.14,10575.94,10000.0,0.0,325.74,munster
1068945,2011,01/12/2011,1012015,1.0,MORTGAGE,3,Low,33000,1,7100, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,24.0,9079.334843,7100.0,0.0,252.33,munster
1069142,2011,01/12/2011,1012016,0.5,MORTGAGE,3,Low,30000,1,13000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,13.72,17402.239990000002,13000.0,0.0,293.74,Northern-Irl
1068934,2011,01/12/2011,1012016,6.0,RENT,1,Low,40000,1,17500, 60 months,2,INDIVIDUAL,1,small_business,3,High,2,Good Loan,0,17.27,D,4,19.47,10713.52,6487.75,0.0,223.74,ulster
1069136,2011,01/12/2011,1082013,0.5,RENT,1,Low,50000,1,17675, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,16.46,21323.43,17675.0,0.0,417.25,cannught
1068923,2011,01/12/2011,1122014,0.5,RENT,1,Low,62000,1,8000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,21.64,10267.26214,8000.0,0.0,284.31,leinster
1069126,2011,01/12/2011,1042015,10.0,RENT,1,Low,45996,1,10000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,10.65,B,2,21.73,8772.91,5495.38,847.3,215.69,cannught
1069102,2011,01/12/2011,1012015,7.0,MORTGAGE,3,Low,55000,1,3500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,5.39,4103.168128,3500.0,0.0,114.01,cannught
1069093,2011,01/12/2011,1022014,5.0,RENT,1,Low,30000,1,12500, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,17.27,D,4,13.16,5577.75,2812.82,22.5,223.11,cannught
1069030,2011,01/12/2011,1112012,4.0,RENT,1,Low,44544,1,16425, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.27,C,3,22.71,18172.71,16425.0,0.0,563.53,ulster
1068906,2011,01/12/2011,1062013,4.0,RENT,1,Low,75000,1,8200, 60 months,2,INDIVIDUAL,1,small_business,3,High,2,Bad Loan,1,21.28,F,6,12.48,4173.57,1525.83,381.89,223.14,ulster
1069073,2011,01/12/2011,1092014,2.0,OWN,2,Low,61000,1,15000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,14.65,C,3,11.88,18562.400419999998,15000.0,0.0,517.42,leinster
1069043,2011,01/12/2011,1042014,5.0,MORTGAGE,3,Low,44000,1,20975, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,17.58,D,4,18.79,18097.34458,13575.0,0.0,341.63,leinster
1060981,2011,01/12/2011,1102013,5.0,RENT,1,Low,75000,1,6400, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,16.77,D,4,20.22,4776.45,3334.25,10.29,227.45,ulster
1069071,2011,01/12/2011,1092012,1.0,RENT,1,Low,33600,1,3000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,18.11,3246.8,3000.0,0.0,101.8,leinster
1069070,2011,01/12/2011,1012015,3.0,RENT,1,Low,50000,1,12000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,16.77,D,4,20.57,15346.466869999998,12000.0,0.0,426.47,Northern-Irl
1068893,2011,01/12/2011,1012015,0.5,OWN,2,Medium,150000,2,14400, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,14.85,16459.51914,14400.0,0.0,457.25,Northern-Irl
1068882,2011,01/12/2011,1062012,10.0,RENT,1,Low,90000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,16.56,12699.48,12000.0,0.0,413.94,Northern-Irl
1069039,2011,01/12/2011,1102014,10.0,MORTGAGE,3,Low,48000,1,11000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,21.82,13413.21605,11000.0,0.0,373.24,munster
1068416,2011,01/12/2011,1092012,0.5,RENT,1,Low,75000,1,7250, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,21.67,F,6,24.82,8201.53,7200.0,0.0,197.51,ulster
1068997,2011,01/12/2011,1082012,1.0,MORTGAGE,3,Low,52000,1,15000, 36 months,1,INDIVIDUAL,1,small_business,3,Low,1,Good Loan,0,7.9,A,1,9.65,15557.64,15000.0,0.0,469.36,munster
1048390,2011,01/12/2011,1102014,10.0,MORTGAGE,3,Low,65000,1,18000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.91,E,5,6.81,26027.53964,18000.0,0.0,475.99,leinster
1068994,2011,01/12/2011,1022014,3.0,MORTGAGE,3,Medium,150000,2,35000, 60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,17.27,D,4,7.51,28871.92,22075.0,0.0,551.84,Northern-Irl
1068475,2011,01/12/2011,1072012,2.0,RENT,1,Low,68000,1,10000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,14.27,C,3,15.39,10671.62,10000.0,0.0,343.09,Northern-Irl
1068989,2011,01/12/2011,1012015,6.0,RENT,1,Low,42000,1,11800, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.69,B,2,9.86,14243.15837,11800.0,0.0,395.83,Northern-Irl
1068967,2011,01/12/2011,1012015,4.0,RENT,1,Low,53000,1,4500, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,6.03,A,1,4.44,4930.30217,4500.0,0.0,136.96,ulster
1068744,2011,01/12/2011,1012015,10.0,RENT,1,Low,35000,1,7000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.69,B,2,11.35,8449.394742,7000.0,0.0,234.82,ulster
1045509,2011,01/12/2011,1072013,2.0,RENT,1,Low,60000,1,9200, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,19.96,10480.84,9200.0,0.0,307.43,ulster
1063958,2011,01/12/2011,1012016,4.0,RENT,1,Low,28000,1,14000, 60 months,2,INDIVIDUAL,1,other,4,High,2,Good Loan,0,17.27,D,4,6.34,16777.04,10157.6,0.0,349.98,ulster
1041756,2011,01/12/2011,1122012,0.5,MORTGAGE,3,Low,42000,1,4500, 60 months,2,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,10.65,B,2,5.4,4907.8,4500.0,0.0,97.06,munster
1068694,2011,01/12/2011,1112013,9.0,RENT,1,Low,88365,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,16.85,14685.36,12000.0,0.0,423.61,munster
1068792,2011,01/12/2011,1042014,4.0,RENT,1,Low,72000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,21.33,13985.67622,12000.0,0.0,407.17,ulster
1068558,2011,01/12/2011,1092012,0.5,RENT,1,Low,62000,1,12000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,23.94,12779.62,12000.0,0.0,390.88,munster
1068322,2011,01/12/2011,1022013,3.0,MORTGAGE,3,Low,43680,1,7000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,5.38,7687.73,7000.0,0.0,228.02,cannught
1065674,2011,01/12/2011,1122014,3.0,RENT,1,Medium,120000,2,8200, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.42,E,5,2.8,11894.8952,8200.0,0.0,214.62,Northern-Irl
1068547,2011,01/12/2011,1102012,10.0,RENT,1,Low,66000,1,10500, 36 months,1,INDIVIDUAL,1,medical,9,Low,1,Good Loan,0,12.69,B,2,20.73,11232.14,10500.0,0.0,352.23,ulster
1068545,2011,01/12/2011,1062013,4.0,OWN,2,Low,39120,1,7000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,21.01,7932.3,7000.0,0.0,231.54,leinster
1068575,2011,01/12/2011,1012016,6.0,RENT,1,Low,85000,1,15300, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,22.06,F,6,20.58,20295.8,10776.09,0.0,423.1,leinster
1049528,2011,01/12/2011,1112013,4.0,MORTGAGE,3,Low,47800,1,20000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,10.04,15161.27,12800.0,0.0,282.86,leinster
1068542,2011,01/12/2011,1042013,7.0,MORTGAGE,3,Low,45000,1,17500, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Bad Loan,1,17.27,D,4,21.31,10037.1,3077.85,3486.0,437.47,ulster
1068350,2011,01/12/2011,1012015,10.0,MORTGAGE,3,Low,83000,1,3500, 36 months,1,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,6.03,A,1,2.31,3834.66085,3500.0,0.0,106.53,cannught
1067874,2011,01/12/2011,1012016,0.5,RENT,1,Low,81000,1,6000, 60 months,2,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,12.69,B,2,13.66,6495.11,4472.4,0.0,135.57,ulster